N;Q
71.99999999999977; 221.69905422234493
72.99999999999977; 221.57858837374488
74; 221.42969766346584
75; 221.2551561547335
75.99999999999977; 221.05875681417766
77; 220.84914403188458
77.99999999999977; 220.63640456446313
78.99999999999977; 220.43062540597248
80; 220.24189355047167
80.99999999999977; 220.07954223248112
82; 219.94366482292236
82.99999999999977; 219.82815867763878
83.99999999999977; 219.72680680435994
85; 219.6333922108155
85.99999999999977; 219.54176684219252
87; 219.4491714282005
87.99999999999977; 219.35770942988765
88.99999999999977; 219.26986013987909
90; 219.1881028507998
90.99999999999977; 219.11491607331294
92; 219.05024648830164
93; 218.9858829691678
93.99999999999977; 218.91197449648314
95; 218.81867005081924
95.99999999999977; 218.69611861274774
97; 218.5362404796324
98; 218.34480362484925
98.99999999999977; 218.13409150322582
100; 217.91642553505568
100.99999999999977; 217.70412714063266
101.99999999999977; 217.5093442531662
103; 217.34009547868305
103.99999999999977; 217.2001912932357
105; 217.0932529234685
105.99999999999977; 217.02290159602595
106.99999999999977; 216.99271617787747
108; 216.99761818479118
108.99999999999977; 217.01336965393654
110; 217.01316425844203
110.99999999999977; 216.9701956714362
111.99999999999977; 216.85765756604772
113; 216.65670419788333
113.99999999999977; 216.38987006663814
115; 216.09309312331746
115.99999999999977; 215.80231819557687
116.99999999999977; 215.5534901110722
118; 215.3803551389555
118.99999999999977; 215.28660416662058
120; 215.2541636878867
120.99999999999977; 215.2644741781815
121.99999999999977; 215.29897611293282
123; 215.3391951336598
123.99999999999977; 215.3717668473686
125; 215.3912473075701
125.99999999999977; 215.39287389650696
126.99999999999977; 215.37188399642162
128; 215.3235151487086
128.99999999999977; 215.24520437408893
130; 215.14211281268717
131; 215.0210962541119
131.99999999999977; 214.88901048797183
133; 214.7527113038755
133.99999999999977; 214.6187040179023
135; 214.49048012253715
136; 214.36999468783307
136.99999999999977; 214.25919053790773
138; 214.16001049687895
138.99999999999977; 214.0743264312506
139.99999999999977; 214.00206296802116
141; 213.9410043902762
141.99999999999977; 213.88882529433351
143; 213.84320027651077
143.99999999999977; 213.8018016384044
144.99999999999977; 213.76160512615513
146; 213.71791377755284
146.99999999999977; 213.66578470081163
148; 213.6002750041454
148.99999999999977; 213.51644179576834
149.99999999999977; 213.41103939101473
151; 213.29046092505774
151.99999999999977; 213.16449785794373
153; 213.04294547810153
153.99999999999977; 212.9355990739599
154.99999999999977; 212.85157452698104
156; 212.78958466233948
156.99999999999977; 212.74021098054072
158; 212.6938185844504
158.99999999999977; 212.64077257693424
159.99999999999977; 212.57153168636202
161; 212.48355007673868
161.99999999999977; 212.38600147773886
163; 212.28917766587503
163.99999999999977; 212.2033704176598
164.99999999999977; 212.13887149774834
166; 212.10190564984015
166.99999999999977; 212.08312151644782
168; 212.0694394122515
169; 212.04777965193168
169.99999999999977; 212.0050625501686
171; 211.9297528012038
171.99999999999977; 211.82495778196926
173; 211.7018655080426
174; 211.57174873819642
174.99999999999977; 211.44588023120355
176; 211.3352768522481
176.99999999999977; 211.2427829929778
177.99999999999977; 211.16155286663007
179; 211.08417848822842
179.99999999999977; 211.00325187279648
181; 210.9113718669736
181.99999999999977; 210.80447824397405
182.99999999999977; 210.68722543210552
184; 210.5656709301038
184.99999999999977; 210.44587223670467
186; 210.33388685064384
186.99999999999977; 210.23467008705947
187.99999999999977; 210.14633145370135
189; 210.06435598958413
189.99999999999977; 209.98422336713864
191; 209.9014132587958
191.99999999999977; 209.81171812397187
192.99999999999977; 209.7163216908882
194; 209.6209545598434
194.99999999999977; 209.53148970117928
196; 209.4538000852381
196.99999999999977; 209.39369363088608
197.99999999999977; 209.35077531094302
199; 209.31340992592396
199.99999999999977; 209.26877676322857
201; 209.20405511025663
201.99999999999977; 209.1064242544079
202.99999999999977; 208.96744664823746
204; 208.796996606093
204.99999999999977; 208.6097297881002
206; 208.4203018683245
207; 208.2433685208315
207.99999999999977; 208.09226392859404
209; 207.96647017007624
209.99999999999977; 207.85720097078232
211; 207.75555939424245
212; 207.65264850398688
212.99999999999977; 207.53976656867866
214; 207.41554685524414
214.99999999999977; 207.28800688261117
215.99999999999977; 207.1657770401958
217; 207.0574877174142
217.99999999999977; 206.97176200335747
219; 206.91074273673536
219.99999999999977; 206.85819253415866
220.99999999999977; 206.79463761563142
222; 206.7006042011575
222.99999999999977; 206.5566185107411
224; 206.34807684637377
224.99999999999977; 206.09349973586598
225.99999999999977; 205.82520142080202
227; 205.57554158455758
227.99999999999977; 205.3768799105083
229; 205.2599734326038
229.99999999999977; 205.22430630651672
230.99999999999977; 205.24091128640788
232; 205.27978435435358
232.99999999999977; 205.3109214924299
234; 205.30442798290608
234.99999999999977; 205.24412233337657
235.99999999999977; 205.14072271208852
237; 205.0080754129767
237.99999999999977; 204.86002672997614
239; 204.71042295702182
239.99999999999977; 204.5709773330924
240.99999999999977; 204.4436807496661
242; 204.32775561404603
242.99999999999977; 204.22242413321092
244; 204.12690851413947
245; 204.0402429891127
245.99999999999977; 203.95927658454988
247; 203.87944851663718
247.99999999999977; 203.79617450472344
248.99999999999977; 203.70487026815755
250; 203.60105315856424
250.99999999999977; 203.4847917233482
252; 203.36243945078107
252.99999999999977; 203.24080957409117
253.99999999999977; 203.12671532650705
255; 203.02696805854663
255.99999999999977; 202.9447094828161
257; 202.8717521020792
257.9999999999998; 202.79772894647078
258.9999999999998; 202.71227304612572
260; 202.6050174311789
260.9999999999998; 202.46783780637725
262; 202.30933977750618
262.9999999999998; 202.14568847907776
263.9999999999998; 201.993086033728
265; 201.86773456409287
265.9999999999998; 201.78510230002382
267; 201.74433870843922
267.9999999999998; 201.7285800837125
268.9999999999998; 201.72028995235678
270; 201.7019318408851
270.9999999999998; 201.65601794632045
272; 201.5734131038825
272.9999999999998; 201.4627344251902
273.9999999999998; 201.33486979316405
275; 201.20070709072473
275.9999999999998; 201.07113420079276
277; 200.9554032012143
277.9999999999998; 200.8546286972969
278.9999999999998; 200.76739977565256
280; 200.69230474288057
280.9999999999998; 200.62793190558028
282; 200.5727040726196
283; 200.52290274528343
283.9999999999998; 200.4733171709177
285; 200.4187062402046
285.9999999999998; 200.35382884382634
286.9999999999998; 200.27355128822737
288; 200.1785602616814
288.9999999999998; 200.0782221495762
290; 199.98261140018653
290.9999999999998; 199.9018024617871
291.9999999999998; 199.84586911611734
293; 199.82083634902972
293.9999999999998; 199.81911095500212
295; 199.8302396150482
295.9999999999998; 199.8437690101817
296.9999999999998; 199.8492458214163
298; 199.83754523983043
298.9999999999998; 199.81043221094757
300; 199.77500564681796
300.9999999999998; 199.73840101031735
301.9999999999998; 199.70775376432155
303; 199.68996376722143
303.9999999999998; 199.68591597102784
305; 199.69012940432145
305.9999999999998; 199.69681721698313
306.9999999999998; 199.7001925588936
308; 199.69447916571175
308.9999999999998; 199.67651507965863
310; 199.64916438751808
310.9999999999998; 199.616137344494
311.9999999999998; 199.5811442057901
313; 199.54789522661014
313.9999999999998; 199.51930098725572
315; 199.49392762562073
315.9999999999998; 199.46887296309467
316.9999999999998; 199.44123367018034
318; 199.40810641738068
318.9999999999998; 199.36687846704936
320; 199.31913890838663
321; 199.2696381818799
321.9999999999998; 199.22320392971469
323; 199.1846637940763
323.9999999999998; 199.1587971583489
324.9999999999998; 199.14716111118756
326; 199.1461206417185
326.9999999999998; 199.15157019309467
328; 199.1594042084689
328.9999999999998; 199.16551715905297
329.9999999999998; 199.16705873201246
331; 199.16578170784456
331.9999999999998; 199.16449375575436
333; 199.16600254494688
333.9999999999998; 199.17311574462715
334.9999999999998; 199.18809082305273
336; 199.2082187694212
336.9999999999998; 199.22815603653865
338; 199.24253488763176
338.9999999999998; 199.24598758592703
339.9999999999998; 199.2331576651537
341; 199.19902189607538
341.9999999999998; 199.13893747006313
343; 199.04828233761054
343.9999999999998; 198.9224344492113
344.9999999999998; 198.75678861235173
346; 198.55315663952973
346.9999999999998; 198.32940862358225
348; 198.10588573290886
348.9999999999998; 197.9029291359092
349.9999999999998; 197.7408800009829
351; 197.63618093150342
351.9999999999998; 197.58212338975716
353; 197.5634863212958
353.9999999999998; 197.5650355140143
354.9999999999998; 197.57153675580741
356; 197.56837032310034
356.9999999999998; 197.55089260799403
357.9999999999998; 197.52256007518042
358.9999999999998; 197.4870633574884
359.9999999999998; 197.44809308774694
361; 197.4093268338886
361.9999999999998; 197.37334313006232
362.9999999999998; 197.34080579105728
364; 197.3121864976629
364.9999999999998; 197.2879569306686
366; 197.26858877086383
366.9999999999998; 197.25354552624196
367.9999999999998; 197.2382580136124
369; 197.21714887698838
369.9999999999998; 197.18464076038325
371; 197.1351563078103
371.9999999999998; 197.0640202584901
372.9999999999998; 196.9755472189311
374; 196.87921190843122
374.9999999999998; 196.7845503877504
376; 196.70109871764865
376.9999999999998; 196.63817642634535
377.9999999999998; 196.59761299956523
379; 196.5720131254151
379.9999999999998; 196.55341328163655
381; 196.53384994597113
381.9999999999998; 196.5053639711602
382.9999999999998; 196.4628266727065
384; 196.40880725908366
384.9999999999998; 196.34717123496912
386; 196.28178410504054
386.9999999999998; 196.21651137397546
387.9999999999998; 196.1547025027203
389; 196.09635344291294
389.9999999999998; 196.0401200596075
391; 195.9846546975508
391.9999999999998; 195.92860970148976
392.9999999999998; 195.87071739100816
394; 195.8111756618917
394.9999999999998; 195.7514662106917
395.9999999999998; 195.6931141537433
396.9999999999998; 195.63764460738167
397.9999999999998; 195.58656411266855
399; 195.53935613980337
399.9999999999998; 195.49169038017152
400.9999999999998; 195.43881402368567
402; 195.37597426025843
402.9999999999998; 195.2984182798025
404; 195.2038481532666
404.9999999999998; 195.10067802619417
405.9999999999998; 195.00024311610355
407; 194.91387870581022
407.9999999999998; 194.8529200781299
409; 194.82726345373482
409.9999999999998; 194.8309261502818
410.9999999999998; 194.8480708003997
412; 194.8627124477082
412.9999999999998; 194.85886613582684
414; 194.82086331019212
414.9999999999998; 194.74599183192694
415.9999999999998; 194.6487602410095
417; 194.54486803295367
417.9999999999998; 194.45001470327304
419; 194.3798942209447
419.9999999999998; 194.3431497254087
420.9999999999998; 194.32756242153107
422; 194.31707348963084
422.9999999999998; 194.29562411002692
424; 194.24715546303835
424.9999999999998; 194.15862382402537
425.9999999999998; 194.03845766780353
427; 193.90440085199802
427.9999999999998; 193.77423495382578
429; 193.66574155050387
429.9999999999998; 193.59599699731532
430.9999999999998; 193.56740062616223
432; 193.56848403670807
432.9999999999998; 193.58723562815706
433.9999999999998; 193.6116437997133
434.9999999999998; 193.6297208946313
435.9999999999998; 193.63297347994873
437; 193.62004188306346
437.9999999999998; 193.59043672394847
438.9999999999998; 193.54366862257683
440; 193.47924819892148
440.9999999999998; 193.39784357095095
442; 193.30563418666134
442.9999999999998; 193.21043805600854
443.9999999999998; 193.1200734586977
445; 193.04235867443387
445.9999999999998; 192.98446480262234
447; 192.94562956685627
447.9999999999998; 192.91977077278548
448.9999999999998; 192.9007080464112
450; 192.8822610137349
450.9999999999998; 192.85833477143026
452; 192.82703593015316
452.9999999999998; 192.79250005683508
453.9999999999998; 192.7593286853682
455; 192.7321233496447
455.9999999999998; 192.715484906479
457; 192.7118219758035
457.9999999999998; 192.71647957217832
458.9999999999998; 192.72338277523207
460; 192.7264566645934
460.9999999999998; 192.71962631989092
462; 192.69740164602877
462.9999999999998; 192.65886455387513
463.9999999999998; 192.60524813259192
465; 192.53779800617636
465.9999999999998; 192.45775979862572
467; 192.36649873051076
467.9999999999998; 192.26822665150328
468.9999999999998; 192.1700563645574
470; 192.07923113525436
470.9999999999998; 192.0029942291753
471.9999999999998; 191.94857101083792
472.9999999999998; 191.9195282757429
473.9999999999998; 191.91133608481837
475; 191.91837911653707
475.9999999999998; 191.93504204937167
476.9999999999998; 191.95570956179498
478; 191.97506836180966
478.9999999999998; 191.9893751500299
480; 191.99539516248308
480.9999999999998; 191.98989389610097
481.9999999999998; 191.96963684781542
483; 191.93177216043372
483.9999999999998; 191.87867893506996
485; 191.81652423455083
485.9999999999998; 191.75155971027903
486.9999999999998; 191.69003701365705
488; 191.63814871441883
488.9999999999998; 191.59854248216894
490; 191.56837139131162
490.9999999999998; 191.54431586290062
491.9999999999998; 191.52305631798959
493; 191.50127323510193
493.9999999999998; 191.47644132384292
495; 191.44882447016343
495.9999999999998; 191.41929849724733
496.9999999999998; 191.38873922827838
498; 191.35802248644052
498.9999999999998; 191.32794851130868
500; 191.2986675770684
500.9999999999998; 191.26999861090596
501.9999999999998; 191.24175789903228
503; 191.21376172765838
503.9999999999998; 191.18582709362656
504.9999999999998; 191.1577904951367
505.9999999999998; 191.1295098656622
506.9999999999998; 191.10084423717555
508; 191.07165264164934
508.9999999999998; 191.04179489004088
509.9999999999998; 191.01136725172137
510.9999999999998; 190.981033827324
511.9999999999998; 190.95154220274773
513; 190.92363996389165
513.9999999999998; 190.89807469665467
514.9999999999998; 190.8751797710337
516; 190.8529361320281
516.9999999999998; 190.82849533841429
518; 190.79900801462358
518.9999999999998; 190.76162478508743
519.9999999999998; 190.71375322436336
521; 190.65673531857067
521.9999999999998; 190.59498830180465
523; 190.533011249242
523.9999999999998; 190.47530323605932
524.9999999999998; 190.42632883014514
526; 190.38797431140162
526.9999999999998; 190.35780651245855
528; 190.33298019057543
528.9999999999998; 190.3106501030116
529.9999999999998; 190.28797100884094
531; 190.26272000202925
531.9999999999998; 190.23505762903878
533; 190.20571494445642
533.9999999999998; 190.17542300286917
534.9999999999998; 190.14491285886396
536; 190.11486419665724
536.9999999999998; 190.0854696440099
538; 190.0566530441097
538.9999999999998; 190.02833542134942
539.9999999999998; 190.00043780012186
541; 189.9728765997876
541.9999999999998; 189.94542116879845
542.9999999999998; 189.91766647225168
543.9999999999998; 189.88919735798933
544.9999999999998; 189.85959867385336
546; 189.82845636087566
546.9999999999998; 189.79589097260154
547.9999999999998; 189.76341757501442
548.9999999999998; 189.73277575235363
549.9999999999998; 189.7057050888586
551; 189.68394516876867
551.9999999999998; 189.6683725320726
552.9999999999998; 189.6545032373285
554; 189.63579830193993
554.9999999999998; 189.60571454110735
556; 189.55770877003138
556.9999999999998; 189.48579981895614
557.9999999999998; 189.39369353937101
559; 189.29326559362158
559.9999999999998; 189.19664745426888
561; 189.11597059387415
561.9999999999998; 189.06328519547114
562.9999999999998; 189.04289012596772
564; 189.04503832503136
564.9999999999998; 189.0585012932104
566; 189.07205053105315
566.9999999999998; 189.07445753910798
567.9999999999998; 189.05758982103544
569; 189.02624927358704
569.9999999999998; 188.98861504736715
571; 188.95286630282655
571.9999999999998; 188.927182200416
572.9999999999998; 188.91876754945642
574; 188.9246138375505
574.9999999999998; 188.93561619713628
576; 188.94258816825985
576.9999999999998; 188.93634329096724
577.9999999999998; 188.90791005990056
579; 188.85639407077997
579.9999999999998; 188.7912346030208
580.9999999999998; 188.72254581239193
581.9999999999998; 188.66044185466237
582.9999999999998; 188.61503252658872
584; 188.59255827790716
584.9999999999998; 188.58828475746952
585.9999999999998; 188.59554516694882
586.9999999999998; 188.6076727080181
587.9999999999998; 188.6180005823503
589; 188.62030991078322
589.9999999999998; 188.61142836975586
590.9999999999998; 188.5894522937643
592; 188.5524821967515
592.9999999999998; 188.4986185926603
594; 188.4262193238035
594.9999999999998; 188.3386635419929
595.9999999999998; 188.24389867994498
597; 188.15003863901632
597.9999999999998; 188.06519732056344
599; 187.99745356374746
599.9999999999998; 187.95048716895008
600.9999999999998; 187.91934884692913
602; 187.89808584311024
602.9999999999998; 187.88074540291905
604; 187.86137477178102
604.9999999999998; 187.83538471280264
605.9999999999998; 187.80440082789548
607; 187.7718184235494
607.9999999999998; 187.74103293430804
609; 187.71543979471502
609.9999999999998; 187.69819376884763
610.9999999999998; 187.6896518266108
612; 187.68836590941132
612.9999999999998; 187.69285787484762
613.9999999999998; 187.7016495805181
614.9999999999998; 187.71324366273757
615.9999999999998; 187.725282009356
617; 187.73421786386217
